sku,name,category,costPrice,unitPrice,stockQuantity,condition,tags,acquisitionCost,buyPrice
GH-CONSOLE-nintendo-switch-2-001,NINTENDO SWITCH 2,Consoles,1505.00,1690.00,0,GOOD,console,1505.00,1505.00
GH-CONSOLE-nintendo-switch-lite-002,NINTENDO SWITCH LITE,Consoles,320.00,430.00,0,GOOD,console,320.00,320.00
GH-CONSOLE-nintendo-switch-oled-neon-mario-red-003,NINTENDO SWITCH OLED (NEON & MARIO RED),Consoles,575.00,775.00,0,GOOD,console,575.00,575.00
GH-CONSOLE-nintendo-switch-oled-special-edition-004,NINTENDO SWITCH OLED (SPECIAL EDITION),Consoles,625.00,845.00,0,GOOD,console,625.00,625.00
GH-CONSOLE-nintendo-switch-oled-white-assorted-005,NINTENDO SWITCH OLED (WHITE & ASSORTED),Consoles,575.00,775.00,0,GOOD,console,575.00,575.00
GH-CONSOLE-nintendo-switch-v1-006,NINTENDO SWITCH V1,Consoles,335.00,450.00,0,GOOD,console,335.00,335.00
GH-CONSOLE-nintendo-switch-v2-007,NINTENDO SWITCH V2,Consoles,350.00,475.00,0,GOOD,console,350.00,350.00
GH-CONSOLE-ps4-fat-1tb-008,PS4 FAT 1TB,Consoles,245.00,330.00,0,GOOD,console,245.00,245.00
GH-CONSOLE-ps4-fat-500gb-009,PS4 FAT 500GB,Consoles,205.00,275.00,0,GOOD,console,205.00,205.00
GH-CONSOLE-ps4-pro-1tb-010,PS4 PRO 1TB,Consoles,270.00,365.00,0,GOOD,console,270.00,270.00
GH-CONSOLE-ps4-pro-2tb-011,PS4 PRO 2TB,Consoles,355.00,480.00,0,GOOD,console,355.00,355.00
GH-CONSOLE-ps4-slim-1tb-012,PS4 SLIM 1TB,Consoles,260.00,350.00,0,GOOD,console,260.00,260.00
GH-CONSOLE-ps4-slim-500gb-013,PS4 SLIM 500GB,Consoles,220.00,300.00,0,GOOD,console,220.00,220.00
GH-CONSOLE-ps5-fat-digital-014,PS5 FAT DIGITAL,Consoles,1080.00,1460.00,0,GOOD,console,1080.00,1080.00
GH-CONSOLE-ps5-fat-disc-015,PS5 FAT DISC,Consoles,1230.00,1660.00,0,GOOD,console,1230.00,1230.00
GH-CONSOLE-ps5-pro-digital-016,PS5 PRO DIGITAL,Consoles,2270.00,2610.00,0,GOOD,console,2270.00,2270.00
GH-CONSOLE-ps5-pro-disc-017,PS5 PRO DISC,Consoles,2570.00,2890.00,0,GOOD,console,2570.00,2570.00
GH-CONSOLE-ps5-slim-digital-018,PS5 SLIM DIGITAL,Consoles,1205.00,1625.00,0,GOOD,console,1205.00,1205.00
GH-CONSOLE-ps5-slim-disc-019,PS5 SLIM DISC,Consoles,1505.00,2030.00,0,GOOD,console,1505.00,1505.00
GH-ACC-pre-owned-nintendo-switch-joy-con-left-001,PRE-OWNED NINTENDO SWITCH JOY-CON (LEFT),Accessories,45.00,60.00,0,GOOD,accessory,45.00,45.00
GH-ACC-pre-owned-nintendo-switch-joy-con-right-002,PRE-OWNED NINTENDO SWITCH JOY-CON (RIGHT),Accessories,45.00,60.00,0,GOOD,accessory,45.00,45.00
GH-ACC-pre-owned-nintendo-switch-pro-controller-003,PRE-OWNED NINTENDO SWITCH PRO CONTROLLER,Accessories,75.00,100.00,0,GOOD,accessory,75.00,75.00
GH-ACC-pre-owned-ps4-dualshock-controller-004,PRE-OWNED PS4 DUALSHOCK CONTROLLER,Accessories,30.00,40.00,0,GOOD,accessory,30.00,30.00
GH-ACC-pre-owned-ps5-dualsense-controller-005,PRE-OWNED PS5 DUALSENSE CONTROLLER,Accessories,145.00,195.00,0,GOOD,accessory,145.00,145.00
GH-ACC-pre-owned-xbox-series-controller-006,PRE-OWNED XBOX SERIES CONTROLLER,Accessories,50.00,70.00,0,GOOD,accessory,50.00,50.00
