"","Cash Value","Store credit","","","","","","","","",""
"ANIMAL CROSSING NEW HORIZONS","RM100","135","","","","","","","","",""
"Assassin's Creed Shadows","RM100","135","","","","","","","","",""
"Bravely Default Flying Fair HD Remsater","RM60","80","","Any game that is the Chinese or Japanese version will have RM20 deducted from its trade-in price.","","","","","","",""
"Cronos: The New Dawn","RM95","130","","","","","","","","",""
"Cyberpunk 2077","RM125","170","","","","","","","","",""
"Daemon X Machina : Titanic Scion","RM110","150","","Any game that doesn't have game case will have RM15 deducted from its trade-in price","","","","","","",""
"Donkey Kong Bananza ","RM190","215","","","","","","","","",""
"Dragon Quest 1 & 2 HD remake ","RM100","135","","","","","","","","",""
"Dragon Quest VII Reimagined","RM100","135","","","","","","","","",""
"Dragon Ball: Sparking! Zero","RM110","150","","","","","","","","",""
"Dynasty Warriors Origins","RM100","135","","","","","","","","",""
"EA SPORTS FC 26","RM65","90","","Can't find your old games trade-in price here? ","","","","","","",""
"FANTASY LIFE i: The Girl Who Steals Time","RM100","135","","Contact us via email or whatsapp to get a quote, we accept all PS4, PS5, and Nintendo Switch Games!","","","","","","",""
"Fatal Frame II: Crimson Butterfly Remake","RM90","120","","","","","","","","",""
"FINAL FANTASY VII REMAKE INTERGRADE","RM90","120","","","","","","","","",""
"Final Fantasy VII Rebirth","RM100","135","","","","","","","","",""
"Gear Club Unlimited 3","RM95","130","","","","","","","","",""
"Hades 2","RM90","120","","whatsapp - ","011-54196680","","","","","",""
"Hogwarts Legacy","RM95","130","","email - ","care@g-h.store","","","","","",""
"Hitman World Of Assassination","RM100","135","","","","","","","","",""
"Hyrule Warriors : Age Of Imprisonment","RM140","190","","","","","","","","",""
"Indiana Jones and the Great Circle","RM120","160","","","","","","","","",""
"Kirby Air Riders","RM180","200","","","","","","","","",""
"Kirby And The Forgotten Land","RM135","180","","","","","","","","",""
"Kunitsu-Gami: Path of the Goddess","RM65","90","","","","","","","","",""
"LITTLE NIGHTMARE III","RM80","110","","","","","","","","",""
"Madden NFL 26","RM100","135","","","","","","","","",""
"Mario Kart World","RM125","170","","","","","","","","",""
"Mario Tennis Fever","RM130","175","","","","","","","","",""
"Marvel Cosmic Invasion","RM75","100","","","","","","","","",""
"METROID PRIME 4: BEYOND","RM105","140","","","","","","","","",""
"Monster Hunter Stories 3: Twisted Reflection","RM135","180","","","","","","","","",""
"NBA 2K26","RM60","80","","","","","","","","",""
"Octopath Traveler 0 ","RM95","130","","","","","","","","",""
"Persona 3 Reload","RM70","95","","","","","","","","",""
"POKEMON LEGENDS Z-A","RM105","140","","","","","","","","",""
"Pokemon Pokopia","RM100","135","","","","","","","","",""
"Pragmata","RM130","175","","","","","","","","",""
"PuyoPuyo Tetris 2S","RM50","70","","","","","","","","",""
"Reanimal","RM75","100","","","","","","","","",""
"Resident Evil Biohazard Gold Edition","RM65","90","","","","","","","","",""
"Resident Evil Village","RM75","100","","","","","","","","",""
"Resident Evil Requiem","RM140","190","","","","","","","","",""
"Ripple Island: Kyle and Cal's Restaurant","RM55","75","","","","","","","","",""
"Runefactory Guardian of Azuma","RM95","130","","","","","","","","",""
"RAIDOU Remastered: The Mystery of the Soulless Army","RM80","110","","","","","","","","",""
"Shadow Labyrinth","","","","","","","","","","",""
"Sid Meier's Civilization VII","RM70","95","","","","","","","","",""
"Splatoon Raiders","RM105","140","","","","","","","","",""
"Split Fictions","","","","","","","","","","",""
"Spongebob Squarepants: Titans of the Tide","RM75","RM100","","","","","","","","",""
"SONIC RACING: CROSSWORLDS","RM110","150","","","","","","","","",""
"Sonic X Shadow Generations","RM80","110","","","","","","","","",""
"Star Fox","RM80","110","","","","","","","","",""
"STAR WARS OUTLAWS","RM110","150","","","","","","","","",""
"Street Fighter 6 1 - 2 Fighter Edition","RM115","155","","","","","","","","",""
"Story of Seasons Grand Bazaar","RM120","160","","","","","","","","",""
"Suikoden 1 - 2 HD Remaster","RM90","120","","","","","","","","",""
"Super Mario Bros. Wonder + Meetup in Bellabel Park","RM115","155","","","","","","","","",""
"SUPER MARIO PARTY JAMBOREE","RM170","195","","","","","","","","",""
"Survival Kids","RM75","100","","","","","","","","",""
"Tales of Arise Beyond The Dawn Edition ","RM75","100","","","","","","","","",""
"Tamagotchi Plaza","RM100","135","","","","","","","","",""
"The Legend of Heroes: Trails Beyond the Horizon","RM130","175","","","","","","","","",""
"The Legend Of Zelda : Breath Of the Wild","RM160","180","","","","","","","","",""
"The Legend Of Zelda : Tears Of The Kingdom","RM170","195","","","","","","","","",""
"Two Point Museum","RM75","100","","","","","","","","",""
"Wild Hearts S","RM75","110","","","","","","","","",""
"WWE 2K26","RM120","160","","","","","","","","",""
"Xenoblade Chronicles X: Definitive Edition","RM90","120","","","","","","","","",""
"Yakuza 0","RM95","125","","","","","","","","",""
"YAKUZA KIWAMI","RM45","60","","","","","","","","",""
"YAKUZA KIWAMI 2","RM50","70","","","","","","","","",""
"YAKUZA KIWAMI 3 & DARK TIES","RM100","135","","","","","","","","",""
"Yoshi and the Mysterious Book","RM130","175","","","","","","","","",""
