"Product Name","Cash Value","Store credit","","","","","","","","","","","","","","","","","","","","","","",""
".HACK // G.U. LAST RECODE","RM10","15","","Any game that is the Chinese or Japanese version will have RM20 deducted from its trade-in price.","","","","","","","","","","","","","","3,000","","","","","","",""
"13 SENTINELS : AEGIS RIM","RM10","15","","","","","","","","","","","","","","","","2,000","","","","","","",""
"1971 PROJECT HELIOS","RM5","8","","Any game that doesn't have game case will have RM15 deducted from its trade-in price","","","","","","","","","","","","","","3,000","","","","","","",""
"7 DAYS TO DIE","RM10","15","","","","","","","","","","","","","","","","3,000","","","","","","",""
"8 TO GLORY","RM0","0","","","","","","","","","","","","","","","","3,000","","","","","","",""
"A PLAGUE TALE : INNOCENCE","RM15","20","","Can't find your old games trade-in price here? ","","","","","","","","","","","","","","2,000","","","","","","",""
"A WAY OUT","RM20","30","","Contact us via email or whatsapp to get a quote, we accept all PS4, PS5, and Nintendo Switch Games!","","","","","","","","","","","","","","2,000","","","","","","",""
"A.O.T. WINGS OF FREEDOM","RM10","15","","whatsapp - ","011-54196680","","","","","","","","","","","","","1,000","","","","","","",""
"ABZU","RM10","15","","email - ","care@g-h.store","","","","","","","","","","","","","1,000","","","","","","",""
"ACCEL WORLD VS SWORD ART ONLINE","RM10","15","","","","","","","","","","","","","","","","1,000","","","","","","",""
"ACE ATTORNEY INVESTIGATIONS COLLECTIONS","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"ACE COMBAT 7 SKIES UNKNOWN","RM20","30","","","","","","","","","","","","","","","","1,000","","","","","","",""
"ADAM'S VENTURE : ORIGINS ","RM10","15","","","","","","","","","","","","","","","","7,000","","","","","","",""
"ADVENTURE TIME : FINN AND JAKE INVESTIGATIONS","RM5","8","","","","","","","","","","","","","","","","1,000","","","","","","",""
"ADVENTURE TIME PIRATES OF THE ENCHIRIDION","RM10","15","","","","","","","","","","","","","","","","2,000","","","","","","",""
"AEGIS OF EARTH PROTONOVUS ASSAULT","RM5","8","","","","","","","","","","","","","","","","2,000","","","","","","",""
"AEREA COLLECTOR'S EDITION","RM5","8","","","","","","","","","","","","","","","","2,000","","","","","","",""
"AGENTS OF MAYHEM","RM5","8","","","","","","","","","","","","","","","","5,000","","","","","","",""
"AI THE SOMNIUM FILES","RM15","20","","","","","","","","","","","","","","","","5,000","","","","","","",""
"AIR CONFLICTS : VIETNAM ","RM5","8","","","","","","","","","","","","","","","","2,000","","","","","","",""
"AIR CONFLICTS DOUBLE PACK","RM10","15","","","","","","","","","","","","","","","","2,000","","","","","","",""
"AIR CONFLICTS SECRET WARS ULTIMATE EDITION","RM10","15","","","","","","","","","","","","","","","","1,000","","","","","","",""
"AIR MISSION : HIND","RM10","15","","","","","","","","","","","","","","","","2,000","","","","","","",""
"AIROHEART","RM5","8","","","","","","","","","","","","","","","","","","","","","","",""
"AKIBA'S BEAT","RM10","15","","","","","","","","","","","","","","","","2,000","","","","","","",""
"AKIBA'S TRIP : UNDEAD & UNDRESSED","RM10","15","","","","","","","","","","","","","","","","2,000","","","","","","",""
"AKIBA'S TRIP 2","RM15","20","","","","","","","","","","","","","","","","3,000","","","","","","",""
"AKIBA'S TRIP HELLBOUND","RM10","15","","","","","","","","","","","","","","","","2,000","","","","","","",""
"ALAN WAKE","RM30","40","","","","","","","","","","","","","","","","3,000","","","","","","",""
"ALEKHINE'S GUN","RM5","8","","","","","","","","","","","","","","","","2,000","","","","","","",""
"ALEX KIDD IN MIRACLE WORLD DX","RM10","15","","","","","","","","","","","","","","","","500","","","","","","",""
"ALIEN ISOLATION","RM10","15","","","","","","","","","","","","","","","","2,000","","","","","","",""
"ALIENATION","RM0","0","","","","","","","","","","","","","","","","2,000","","","","","","",""
"ALIENS : FIRETEAM ELITE","RM15","20","","","","","","","","","","","","","","","","500","","","","","","",""
"ALPINE THE SIMULATION GAME","RM3","5","","","","","","","","","","","","","","","","","","","","","","",""
"AMERICA'S GREATEST GAME SHOWS : WHEEL OF FORTUNE AND JEOPARDY","RM5","10","","","","","","","","","","","","","","","","500","","","","","","",""
"AMERICAN FUGITIVE","RM5","10","","","","","","","","","","","","","","","","500","","","","","","",""
"AMERICAN NINJA WARRIOR : CHALLENGE","RM5","8","","","","","","","","","","","","","","","","500","","","","","","",""
"AMONG THE SLEEP ","RM10","15","","","","","","","","","","","","","","","","500","","","","","","",""
"AMONG US CREWMATE","RM10","15","","","","","","","","","","","","","","","","500","","","","","","",""
"ANCESTORS LEGACY","RM5","8","","","","","","","","","","","","","","","","500","","","","","","",""
"ANDRO DUNOS II","RM3","5","","","","","","","","","","","","","","","","","","","","","","",""
"ANGRY ALLIGATOR","RM10","15","","","","","","","","","","","","","","","","3,000","","","","","","",""
"ANGRY BIRDS STAR WARS","RM15","20","","","","","","","","","","","","","","","","500","","","","","","",""
"ANTHEM","RM0","0","","","","","","","","","","","","","","","","5,000","","","","","","",""
